GJOIN2010,GJOIN2020,WEIGHT,PAREA
G36004700018001015,G36004700018021003,1.0,1.0
G36004700018001016,G36004700018021000,1.0,1.0
G36004700018001017,G36004700018021000,1.0,1.0
G36004700018001018,G36004700018021000,1.0,1.0
G36004700018001019,G36004700018021000,1.0,1.0
G36004700018001020,G36004700018021000,1.0,1.0
G36004700018001021,G36004700018021000,1.0,1.0
G36004700018001022,G36004700018021000,1.0,1.0
G36004700018001023,G36004700018021005,1.0,1.0
G36004700018001024,G36004700018021006,1.0,1.0
G36004700018001025,G36004700018021001,1.0,1.0
G36004700018001026,G36004700018021004,1.0,1.0
G36004700018001027,G36004700018021011,1.0,1.0
G36004700018001028,G36004700018021010,0.0,0.148216480403
G36004700018001028,G36004700018031000,1.0,0.851783519597
G36004700018001029,G36004700018031004,1.0,1.0
G36004700018001030,G36004700018031002,1.0,1.0
G36004700018001031,G36004700018031003,1.0,1.0
G36004700018001032,G36004700018031005,1.0,1.0
G36004700018001033,G36004700018031001,1.0,1.0
G36004700018001034,G36004700018021011,1.0,1.0
G36004700018001035,G36004700018031006,1.0,1.0
G36004700018001036,G36004700018041000,1.0,1.0
G36004700018001037,G36004700018041000,1.0,1.0
G36004700018001038,G36004700018041001,1.0,1.0
G36004700018001039,G36004700018041001,1.0,1.0
G36004700018001040,G36004700018031009,1.0,1.0
G36004700018001041,G36004700018031010,1.0,1.0
G36004700018001042,G36004700018031008,1.0,1.0
G36004700018001043,G36004700018031007,1.0,1.0
G36004700018001044,G36004700018021002,1.0,1.0
G36004700018001045,G36004700018011006,1.0,1.0
G36004700018001046,G36004700018011006,1.0,1.0
G36004700020001000,G36004700020001000,1.0,1.0
G36004700020001001,G36004700020001001,1.0,1.0
G36004700020001002,G36004700020001002,1.0,1.0
G36004700020001003,G36004700020001003,1.0,1.0
G36004700020001004,G36004700020001003,1.0,1.0
G36004700020001005,G36004700020001004,1.0,1.0
G36004700020001006,G36004700020001005,0.0,0.44596716631
G36004700020001006,G36004700020001006,1.0,0.55403283369
G36004700020001007,G36004700020001007,0.561272217025,0.561272217025
G36004700020001007,G36004700020001008,0.438727782975,0.438727782975
G36004700020002000,G36004700020002000,1.0,1.0
G36004700020002001,G36004700020002001,1.0,1.0
G36004700020002002,G36004700020002002,1.0,1.0
G36004700020002003,G36004700020002002,1.0,1.0
G36004700020002004,G36004700020002005,1.0,1.0
G36004700020002005,G36004700020002004,0.0,0.4523591388
G36004700020002005,G36004700020002007,1.0,0.5476408612
G36004700020002006,G36004700020002003,0.565934065934,0.565934065934
G36004700020002006,G36004700020002006,0.434065934066,0.434065934066
G36004700021001000,G36004700021001000,1.0,1.0
G36004700021001001,G36004700021001001,1.0,1.0
G36004700021001002,G36004700021001001,1.0,1.0
G36004700021001003,G36004700021001009,1.0,1.0
G36004700021001004,G36004700021001006,1.0,1.0
G36004700021001005,G36004700021001004,1.0,0.850375505488
G36004700021001005,G36004700021001005,0.0,0.149624494512
G36004700021001006,G36004700021001002,0.177336425043,0.177336425043
G36004700021001006,G36004700021001003,0.822663574957,0.822663574957
G36004700021001007,G36004700021001001,1.0,1.0
G36004700021001008,G36004700021001017,1.0,1.0
G36004700021001009,G36004700021001010,1.0,1.0
G36004700021001010,G36004700021001011,1.0,1.0
G36004700021001011,G36004700021001008,1.0,1.0
G36004700021001012,G36004700021001007,0.273701124799,0.273701124799
G36004700021001012,G36004700021001016,0.726298875201,0.726298875201
G36004700021001013,G36004700021001014,0.240882788319,0.240882788319
G36004700021001013,G36004700021001015,0.759117211681,0.759117211681
G36004700021001014,G36004700021001008,0.010875127943,0.010875127943
G36004700021001014,G36004700021001012,0.120777891505,0.120777891505
G36004700021001014,G36004700021001013,0.868346980553,0.868346980553
G36004700021002000,G36004700021002000,1.0,0.994499915383
G36004700021002000,G36004700021002002,0.0,0.005500084617
G36004700021002001,G36004700021002001,1.0,1.0
G36004700021002002,G36004700021002005,1.0,1.0
G36004700021002003,G36004700021002006,1.0,1.0
G36004700021002004,G36004700021002007,1.0,1.0
G36004700021002005,G36004700021002008,1.0,1.0
G36004700021002006,G36004700021002002,0.272756513348,0.272756513348
G36004700021002006,G36004700021002003,0.277259568993,0.277259568993
G36004700021002006,G36004700021002004,0.449983917658,0.449983917658
G36004700021002007,G36004700021002000,1.0,0.455882352941
G36004700021002007,G36004700021002002,0.0,0.256470588235
G36004700021002007,G36004700021002003,0.0,0.287647058824
G36004700021002008,G36004700021002016,1.0,1.0
G36004700021002009,G36004700021002015,1.0,1.0
G36004700021002010,G36004700021002013,0.198702351987,0.198702351987
G36004700021002010,G36004700021002014,0.801297648013,0.801297648013
G36004700021002011,G36004700021002013,0.32320441989,0.32320441989
G36004700021002011,G36004700021002014,0.67679558011,0.67679558011
G36004700021002012,G36004700021002009,1.0,0.237688098495
G36004700021002012,G36004700021002010,0.0,0.476744186047
G36004700021002012,G36004700021002011,0.0,0.285567715458
G36004700021002013,G36004700021002009,1.0,1.0
