GEOID10,GEOID20,WEIGHT,PAREA
360470029012002,360470029012004,1.0,1.0
360470029012003,360470029012003,1.0,1.0
360470029012004,360470029012006,1.0,1.0
360470029012005,360470029012005,1.0,1.0
360470029012006,360470029012007,1.0,1.0
360470030001000,360470030001000,0.759259259259,0.759259259259
360470030001000,360470030001001,0.240740740741,0.240740740741
360470030001001,360470030001000,0.101136582547,0.101136582547
360470030001001,360470030001001,0.898863417453,0.898863417453
360470030001002,360470030001000,0.478839752734,0.478839752734
360470030001002,360470030001001,0.521160247266,0.521160247266
360470030001003,360470030001001,1.0,1.0
360470030001004,360470030001004,1.0,1.0
360470030001005,360470030001003,1.0,1.0
360470030001006,360470030001002,1.0,1.0
360470030001007,360470030001005,1.0,1.0
360470030002000,360470030002000,1.0,1.0
360470030002001,360470030002001,1.0,1.0
360470031001000,360470031011000,1.0,1.0
360470031001001,360470031011001,0.834048640916,0.899324682509
360470031001001,360470031011002,0.165951359084,0.100675317491
360470031002000,360470031012000,0.91439688716,0.99217136958
360470031002000,360470031012001,0.08560311284,0.00782863042
360470031003000,360470031013000,1.0,0.172699075563
360470031003000,360470031021000,0.0,0.827300924437
360470033001000,360470033001000,1.0,1.0
360470033001001,360470033001001,1.0,1.0
360470033001002,360470033001001,1.0,1.0
360470033002000,360470033002000,1.0,1.0
360470033002001,360470033002001,1.0,1.0
360470033002002,360470033002002,1.0,1.0
360470033002003,360470033002003,1.0,1.0
360470033002004,360470033002004,1.0,1.0
360470033002005,360470033002005,0.0,0.170403587444
360470033002005,360470033002006,1.0,0.829596412556
360470033002006,360470033002007,1.0,1.0
360470033002007,360470033002009,1.0,1.0
360470033002008,360470033002008,1.0,1.0
360470033002009,360470033002011,1.0,1.0
360470033002010,360470033002010,1.0,1.0
360470034000001,360470034000001,1.0,1.0
360470034001000,360470034001000,1.0,1.0
360470034001001,360470034001002,0.518847006652,0.518847006652
360470034001001,360470034001003,0.481152993348,0.481152993348
360470034001002,360470034001000,1.0,1.0
360470034001003,360470034001000,1.0,1.0
360470034001004,360470034001002,0.271182522252,0.271182522252
360470034001004,360470034001003,0.728817477748,0.728817477748
360470034001005,360470034001001,1.0,1.0
360470034001006,360470034001010,1.0,1.0
360470034001007,360470034001011,0.108825453951,0.108825453951
360470034001007,360470034001012,0.891174546049,0.891174546049
360470034001008,360470034001007,1.0,1.0
360470034001009,360470034001005,1.0,1.0
360470034001010,360470034001004,1.0,1.0
360470034001011,360470034001002,0.206644518272,0.206644518272
360470034001011,360470034001003,0.793355481728,0.793355481728
360470034001012,360470034001006,1.0,1.0
360470034001013,360470034001009,1.0,1.0
360470034001014,360470034001008,1.0,1.0
360470034002000,360470034002000,0.64744645799,0.604733477733
360470034002000,360470034002001,0.35255354201,0.395266522267
360470034002001,360470034002002,1.0,1.0
360470034002002,360470034002003,1.0,1.0
360470034002003,360470034002004,1.0,1.0
360470034003000,360470034003000,1.0,1.0
360470034003001,360470034003001,1.0,1.0
360470034003002,360470034003002,1.0,1.0
360470034003003,360470034003003,1.0,1.0
360470035001000,360470035001000,1.0,1.0
360470035001001,360470035001000,1.0,1.0
360470035001002,360470035001000,1.0,1.0
360470035001003,360470035001001,1.0,1.0
360470035001004,360470035001002,1.0,1.0
360470035001005,360470035001002,1.0,1.0
360470035001006,360470035001003,0.110088798545,0.110088798545
360470035001006,360470035001004,0.889911201455,0.889911201455
360470035001007,360470035001003,1.0,1.0
360470035002000,360470035002000,1.0,1.0
360470035002001,360470035002001,1.0,1.0
360470035002002,360470035002002,1.0,1.0
360470036001000,360470036001000,1.0,1.0
360470036001001,360470036001000,1.0,1.0
360470036001002,360470036001001,1.0,1.0
360470036001003,360470036001002,1.0,1.0
360470036001004,360470036001003,1.0,1.0
360470036002000,360470036002000,1.0,1.0
360470036002001,360470036002001,1.0,1.0
360470036003000,360470036003000,1.0,1.0
360470036003001,360470036003001,1.0,1.0
360470037001000,360470037001000,0.002831977893,0.018180440876
360470037001000,360470037001001,0.997168022107,0.981819559124
360470037001001,360470037001002,1.0,1.0
360470037001002,360470037001003,1.0,1.0
360470037001003,360470037001004,1.0,1.0
360470037001004,360470037001005,1.0,1.0
360470037001005,360470037001006,1.0,1.0
360470037001006,360470037001007,1.0,1.0
360470037001007,360470037001008,1.0,1.0
360470037001008,360470037001000,1.0,1.0
360470037001009,360470037001009,1.0,1.0
360470037001010,360470037001010,1.0,1.0
360470037001011,360470037001011,1.0,1.0
360470037001012,360470037001012,1.0,1.0
360470037001013,360470037001013,1.0,1.0
360470037001014,360470037001009,1.0,1.0
360470038000001,360470038000001,1.0,1.0
360470038001000,360470038001000,1.0,1.0
360470038001001,360470038001001,1.0,1.0
360470038001002,360470038001002,0.911289208235,0.911289208235
360470038001002,360470038001003,0.088710791765,0.088710791765
360470038001003,360470038001004,1.0,1.0
360470038001004,360470038001005,1.0,1.0
360470038001005,360470038001006,1.0,1.0
360470038001006,360470038001007,1.0,1.0
360470039001000,360470039001000,1.0,1.0
360470039001001,360470039001000,1.0,1.0
360470039001002,360470039001001,1.0,1.0
360470039001003,360470039001002,1.0,1.0
360470039001004,360470039001003,1.0,1.0
360470039002000,360470039002000,1.0,1.0
360470039002001,360470039002001,1.0,1.0
360470039002002,360470039002002,1.0,1.0
360470039003000,360470039003000,1.0,1.0
360470039003001,360470039003001,1.0,1.0
360470039003002,360470039003002,1.0,1.0
360470041001000,360470041001000,1.0,1.0
360470041001001,360470041001001,0.6581769437,0.4708320051
360470041001001,360470041001002,0.3418230563,0.5291679949
360470041001002,360470041001003,1.0,1.0
360470041001003,360470041001004,1.0,1.0
360470041002000,360470041002000,1.0,1.0
360470041002001,360470041002001,1.0,1.0
360470041002002,360470041002002,1.0,1.0
360470041003000,360470041003000,1.0,1.0
360470041003001,360470041003001,1.0,1.0
360470041003002,360470041003002,1.0,1.0
360470043001000,360470043001000,1.0,1.0
360470043002000,360470043002000,1.0,1.0
360470043002001,360470043002001,1.0,1.0
360470043002002,360470043002002,1.0,1.0
360470043003000,360470043003000,1.0,1.0
