"GEOID","pop_asian_2010","pop_asian_2020"
"360470486003",699,793
"360470488001",317,392
"360470488002",438,478
"360470488003",353,534
"360470489001",5,9
"360470489002",0,16
"360470489003",6,11
"360470490001",474,577
"360470490002",281,927
"360470490003",173,189
"360470491001",720,786
"360470491002",15,82
"360470491003",120,128
"360470491004",873,904
"360470492001",158,277
"360470492002",486,475
"360470492003",168,193
"360470493011",21,47
"360470493021",58,104
"360470493022",57,89
"360470493023",14,26
"360470493024",19,66
"360470494001",204,274
"360470494002",278,399
"360470494003",222,451
"360470494004",157,191
"360470495001",64,98
"360470495002",90,121
"360470495003",73,87
"360470496001",533,558
"360470496002",514,538
"360470496003",536,597
"360470497001",26,62
"360470497002",78,105
"360470497003",65,107
"360470498001",464,603
"360470498002",610,531
"360470498003",492,522
"360470499001",25,69
"360470499002",55,124
"360470500011",104,130
"360470500012",93,113
"360470500021",262,217
"360470501001",64,69
"360470501002",52,86
"360470501003",72,98
"360470502021",51,62
"360470502022",68,76
"360470503001",44,77
"360470503002",29,85
"360470503003",74,76
"360470504011",48,51
"360470504012",183,239
"360470504021",199.659292035398,219
"360470504022",151.340707964602,183
"360470505001",12,44
"360470505002",72,165
"360470505003",422,452
"360470506001",66,102
"360470506002",40,31
"360470506003",88,293
"360470506004",66,81
"360470507001",25,38
"360470508011",54,67
"360470508012",66,83
"360470508031",50,120
"360470508041",89,160
"360470508042",35,63
"360470508043",139,125
"360470509001",5,72
"360470509002",0,5
"360470510011",12,36
