"GEOID","pop_2010_asian","pop_2010_total","pop_2020_asian","pop_2020_total"
"360470249002",12,1244,43,1383
"360470249003",30,1107,47,1257
"360470249004",31,493,15,507
"360470250001",519,826,581,861
"360470250002",553,896,598,887
"360470251001",13,1117,87,1249
"360470251002",100,1495,100,1513
"360470251003",30,1204,50,1447
"360470252001",280,760,340,773
"360470252002",410,1453,558,1576
"360470252003",663,1195,789,1282
"360470252004",438,1378,654,1669
"360470253001",29,1174,102,1562
"360470253002",25,1093,55,1299
"360470253003",39,487,64,656
"360470254001",485,990,556,1103
"360470254002",611,1048,726,1185
"360470254003",717,1462,732,1362
"360470255001",52,2891,68,2742
"360470255002",25,2211,26,2057
"360470256001",829,1357,937,1477
"360470256002",785,1701,979,1889
"360470257001",29,1022,69,1649
"360470257002",4,508,14,504
"360470257003",48,601,62,669
"360470258001",475,1416,689,1553
"360470258002",699,1639,908,1795
"360470258003",401,1542,566,1725
"360470259011",40,2010,93,2328
"360470259021",33,3419,73,3560
"360470260001",487,1161,602,1265
"360470260002",525,943,487,932
"360470260003",740,1545,772,1459
"360470261001",7,1035,70,1357
"360470261002",7,755,97,1179
"360470261003",13,1051,38,1395
"360470261004",26,1191,70,1286
"360470261005",25,885,100,1262
"360470262001",599,1303,767,1456
"360470262002",488.999999999899,1070.99999999978,789,1270
"360470263001",26,1868,76,2088
"360470264001",290,824,399,851
"360470264002",360,981,557,1126
"360470264003",574,1545,675,1744
"360470264004",361,1242,589,1382
"360470265001",11,1054,49,1286
"360470265002",19,1161,45,1250
"360470265003",19,959,45,1080
"360470265004",23,664,31,769
"360470266001",443,1218,695,1306
"360470266002",559,1442,758,1551
"360470266003",461,1073,618,1104
"360470267001",20,1074,47,1032
"360470267002",15,926,64,1021
"360470267003",10,1052,33,1087
"360470267004",9,868,70,1088
"360470268001",356,1094,564,1254
"360470268002",272,853,482,970
"360470268003",321,1285,546,1498
"360470268004",288,956,269,964
"360470269001",24,861,58,926
"360470269002",29,821,57,909
"360470269003",24,1088,111,1170
"360470270001",378,1188,630,1417
"360470270002",261,1261,444,1302
"360470271001",136,1687,285,2220
"360470271002",0,784,26,1273
"360470272001",327,890,547,1116
"360470272002",437,1412,526,1377
"360470272003",328,1178,446,1140
"360470273001",5,739,43,736
"360470273002",9,507,14,674
"360470273003",40,1567,42,1721
"360470274001",525,1191,652,1263
"360470274002",682,1837,834,2009
"360470275001",17,1001,25,775
"360470275002",24,1233,34,1220
"360470275003",15,929,28,981
"360470275004",42,1017,78,1095
"360470276001",577,1311,717,1392
"360470276002",421,1125,537,1197
"360470276003",327,1258,424,1297
"360470277001",9,1221,15,1443
"360470277002",10,942,12,985
"360470277003",0,487,26,570
"360470277004",5,1295,22,1353
"360470278001",481,1730,656,1797
"360470278002",471,1490,771,1745
"360470279001",5,924,27,1035
"360470279002",27,869,34,912
"360470279003",0,1060,15,909
"360470279004",0,821,22,818
"360470280000",0,0,0,0
"360470280001",222,675,375,748
"360470280002",409,1086,413,1114
"360470281001",27,1774,75,1703
"360470281002",3,1311,53,1224
"360470281003",5,1108,118,1873
"360470282000",0,0,0,0
"360470282001",401,1322,573,1540
"360470282002",429,1089,497,1103
"360470282003",98,532,207,639
"360470283001",27,1413,70,1261
"360470283002",10,1355,23,1306
"360470283003",10,1329,47,1366
"360470284001",337,1186,420,1271
"360470284002",275,1327,449,1468
"360470284003",407,1490,636,1657
"360470285011",11,428,40,636
"360470285021",8,2802,34,2658
"360470286000",0,0,0,0
"360470286001",210,953,642,1341
"360470286002",126,935,619,1334
"360470286003",113,852,570,1184
"360470286004",329,900,427,967
"360470286005",346,1174,394,1268
"360470287001",23,1074,80,1208
"360470287002",184,550,145,536
"360470287003",52,1367,45,1359
"360470288001",424,1063,460,1096
"360470288002",286,1028,513,1316
"360470288003",499,1367,595,1488
"360470289001",42,673,39,847
"360470289002",8,946,55,1093
"360470289003",13,652,29,727
"360470289004",27,1267,55,1266
"360470290001",113,1174,205,1165
"360470290002",193,1208,384,1360
"360470290003",424,1538,656,1852
"360470291001",10,1100,40,1101
"360470291002",15,1098,52,1046
"360470291003",7,903,9,895
"360470292000",0,0,0,0
"360470292001",366,1291,571,1490
"360470292002",322,1248,438,1291
"360470292003",0,0,0,0
"360470293001",2,673,5,696
"360470293002",21,872,28,871
"360470293003",32,737,30,938
"360470293004",0,824,21,897
"360470294000",0,0,0,0
"360470294001",590,2321,658,2298
"360470295001",6,792,31,974
"360470295002",22,956,36,1004
"360470295003",23,858,44,944
"360470295004",7,819,25,929
"360470296001",220,1422,411,1451
"360470296002",391,1522,590,1668
"360470296003",405,1397,654,1575
"360470296004",371,1205,420,1299
"360470297001",8,906,30,1067
"360470297002",12,1476,45,1770
"360470297003",11,962,31,1084
"360470298001",454,1528,555,1661
"360470298002",503,1215,574,1172
"360470298003",252,974,363,1122
"360470299001",68,1528,103,1226
"360470299002",10,1051,32,1270
"360470300001",349.682384823848,988,420,1043
"360470300002",303.317615176152,857,421,884
"360470300003",521.037362637363,880,510,854
"360470300004",429.855824175824,726,484,701
"360470300005",396.106813186813,669,505,742
"360470300006",0,0,0,0
"360470301001",18,1150,19,1192
"360470301002",0,684,6,692
"360470301003",1,916,34,1086
"360470302001",565,1365,750,1473
"360470302002",714,1522,857,1547
"360470302003",810,1327,919,1371
"360470303001",20,1732,30,2006
"360470303002",1,861,34,972
"360470303003",27,1865,35,1974
"360470304000",0,0,0,0
"360470304001",771,1482,925,1546
"360470304002",544,1571,744,1764
"360470304003",398,1228,496,1376
"360470305001",60,839,92,1213
"360470305002",120,1092,205,1911
"360470305003",145,1959,193,2380
"360470305004",37,1659,102,1745
"360470306001",691,2005,1021,2215
"360470307001",2,1585,20,1642
"360470307002",0,1175,34,1169
"360470307003",8,1784,73,2814
"360470308001",455.422944753134,1946.53359500846,678,2314
"360470309001",16,1045,57,1094
"360470309002",1,709,60,1115
"360470311001",35,882,91,921
"360470311002",3,1105,29,1188
"360470311003",11,846,35,1082
"360470313001",10,1070,34,1132
"360470313002",27,992,34,1103
"360470313003",8,1650,24,1886
"360470313004",13,936,29,988
"360470314010",0,0,0,0
"360470314011",247,935,437,1164
"360470314012",52,971,70,1021
"360470314013",195,1059,222,1139
"360470314014",0,0,0,0
"360470314015",247.462951234959,804,400,943
"360470314016",239.114104011907,777.46640499154,363,875
"360470314020",0,0,0,0
"360470314021",0,0,0,0
"360470315001",21,1269,81,1447
"360470315002",22,1364,68,1435
"360470315003",22,1248,72,1346
"360470315004",24,1294,86,1385
"360470317011",45,1364,114,1590
"360470317012",24,1020,73,1214
"360470317013",16,1049,57,1195
"360470317021",16,1224,50,1184
"360470317022",16,1003,18,1046
"360470317023",19,1136,116,1484
"360470319001",17,1275,33,1188
"360470319002",19,1218,31,1251
"360470319003",11,1015,26,1013
"360470321001",16,1325,30,1310
"360470321002",20,805,43,1369
"360470321003",11,1525,34,1347
"360470321004",13,1346,78,1462
"360470323001",13,1410,55,1361
"360470323002",21,1119,25,1079
"360470323003",0,1025,16,1069
"360470325001",26,1324,44,1242
"360470325002",27,1409,45,1454
"360470325003",4,3672,28,3522
"360470326001",147,901,224,1039
"360470326002",114,1986,165,2063
"360470326003",111,1884,147,1710
"360470326004",31,1048,82,1047
"360470326005",383,1129,456,1216
"360470327001",11,981,16,884
"360470327002",7,1088,45,1107
"360470327003",32,855,82,1083
"360470328001",302,927,343,919
"360470328002",429,630,385,671
"360470328003",131,761,182,751
"360470328004",146,820,179,749
"360470329001",10,1459,16,1510
"360470329002",11,1469,15,1541
"360470329003",7,1353,40,1431
"360470329004",15,1301,28,1225
"360470330000",0,0,0,0
"360470330001",32,2323,70,2235
"360470330002",79,559,91,568
"360470330003",44,1705,141,1620
"360470331001",4,1720,3,1511
"360470331002",7,1871,4,1870
"360470331003",0,929,4,836
"360470333001",1,1233,17,1210
"360470333002",6,1452,13,1862
"360470333003",4,1400,9,1431
"360470335001",5,1043,16,1249
"360470335002",5,1160,46,1032
"360470335003",0,936,5,950
"360470336000",0,0,0,0
"360470336001",56,900,55,888
"360470336002",13,981,71,1029
"360470336003",10,831,36,816
"360470336004",16,657,34,565
"360470336005",104,1390,133,1467
"360470337011",2.20758122743682,1223,17,1430
